ano;uf;cod_ibge;municipio;esp_vida;tx_analf_15m;pop;rdpc
1991;11;1100015;ALTA FLORESTA D'OESTE;62,01;23,55;23417;198,46
1991;11;1100023;ARIQUEMES;66,02;17,18;56061;319,47
1991;11;1100031;CABIXI;63,16;24,57;7601;116,38
1991;11;1100049;CACOAL;65,03;21,41;69173;320,24
1991;11;1100056;CEREJEIRAS;62,73;20,26;19451;240,1
1991;11;1100064;COLORADO DO OESTE;64,46;25,44;25441;224,82
1991;11;1100072;CORUMBIARA;59,32;30,49;11968;81,38
1991;11;1100080;COSTA MARQUES;62,76;19,24;7418;250,08
1991;11;1100098;ESPIGÃO D'OESTE;64,18;22,12;22877;263,03
1991;11;1100106;GUAJARÁ-MIRIM;64,71;16,68;32289;391,37
1991;11;1100114;JARU;64,46;23,62;49482;221,53
1991;11;1100122;JI-PARANÁ;64,51;18,11;99247;312,09
1991;11;1100130;MACHADINHO D'OESTE;60,43;21,23;11449;220,98
1991;11;1100148;NOVA BRASILÂNDIA D'OESTE;61,4;28,01;19163;109,75
1991;11;1100155;OURO PRETO DO OESTE;62,76;21,49;36928;276,84
1991;11;1100189;PIMENTA BUENO;62,76;18,41;31136;332,51
1991;11;1100205;PORTO VELHO;62,99;13,01;266611;486,43
1991;11;1100254;PRESIDENTE MÉDICI;63,84;28,63;29619;187,85
1991;11;1100262;RIO CRESPO;59,66;25,38;2577;140,95
1991;11;1100288;ROLIM DE MOURA;64,87;21,79;42961;251,8
1991;11;1100296;SANTA LUZIA D'OESTE;59,32;26,75;12248;110,82
1991;11;1100304;VILHENA;64,89;14,51;37496;472,17
1991;11;1100320;SÃO MIGUEL DO GUAPORÉ;58,56;25,89;10186;118,34
1991;11;1100338;NOVA MAMORÉ;57,82;31,25;7147;199,35
1991;11;1100346;ALVORADA D'OESTE;60,89;25,52;20242;138,64
1991;11;1100379;ALTO ALEGRE DOS PARECIS;59,32;25,42;8458;132,23
1991;11;1100403;ALTO PARAÍSO;59,66;22,06;9261;134,82
1991;11;1100452;BURITIS;63,27;32,25;500;152,66
1991;11;1100502;NOVO HORIZONTE DO OESTE;59,32;27,44;11737;76,31
1991;11;1100601;CACAULÂNDIA;61,51;27,51;5300;149,14
1991;11;1100700;CAMPO NOVO DE RONDÔNIA;60,79;29,99;4199;174,67
1991;11;1100809;CANDEIAS DO JAMARI;59,66;28,13;7973;325,36
1991;11;1100908;CASTANHEIRAS;59,32;34,76;4543;92,82
1991;11;1100924;CHUPINGUAIA;61,95;28,39;3548;215,23
1991;11;1100940;CUJUBIM;62,73;28,28;2731;112,37
1991;11;1101005;GOVERNADOR JORGE TEIXEIRA;58,48;34,47;7042;150,04
1991;11;1101104;ITAPUÃ DO OESTE;59,06;26,16;3649;248,4
1991;11;1101203;MINISTRO ANDREAZZA;63,27;32,13;9556;239,14
1991;11;1101302;MIRANTE DA SERRA;63,84;28,44;11239;139,31
1991;11;1101401;MONTE NEGRO;61,51;26,89;7397;203,86
1991;11;1101435;NOVA UNIÃO;60,43;32,58;6199;113,92
1991;11;1101450;PARECIS;62,73;33,73;3185;142,31
1991;11;1101468;PIMENTEIRAS DO OESTE;64,46;23,57;2406;142,54
1991;11;1101476;PRIMAVERA DE RONDÔNIA;62,73;26,68;5675;128,53
1991;11;1101484;SÃO FELIPE D'OESTE;62,73;27,47;7371;112,83
1991;11;1101492;SÃO FRANCISCO DO GUAPORÉ;63,84;27,74;2754;154,47
1991;11;1101500;SERINGUEIRAS;62,3;26,08;5416;135,92
1991;11;1101559;TEIXEIRÓPOLIS;64,18;27,15;5485;145,63
1991;11;1101609;THEOBROMA;63,16;30,28;6853;134,75
1991;11;1101708;URUPÁ;63,84;29,27;12082;186,33
1991;11;1101757;VALE DO ANARI;59,95;29,05;4875;104,05
1991;11;1101807;VALE DO PARAÍSO;63,84;27,01;8801;125,04
1991;12;1200013;ACRELÂNDIA;64,1;39,54;6625;223,65
1991;12;1200054;ASSIS BRASIL;63,73;43,41;4121;178,52
1991;12;1200104;BRASILÉIA;62,33;39,13;13157;176,76
1991;12;1200138;BUJARI;65,62;45,28;3235;194,84
1991;12;1200179;CAPIXABA;60,74;48,78;2313;195,72
1991;12;1200203;CRUZEIRO DO SUL;64,1;39,82;53287;194,63
1991;12;1200252;EPITACIOLÂNDIA;63,56;33,09;7154;229,95
1991;12;1200302;FEIJÓ;60,04;61,02;20246;139,3
1991;12;1200328;JORDÃO;61,64;88,39;4359;63,5
1991;12;1200336;MÂNCIO LIMA;62,33;50;9256;115,12
1991;12;1200344;MANOEL URBANO;63,56;68,01;7209;111,5
1991;12;1200351;MARECHAL THAUMATURGO;60,74;79,8;9300;75,84
1991;12;1200385;PLÁCIDO DE CASTRO;63,94;37,6;11004;148,43
1991;12;1200393;PORTO WALTER;60,74;75,03;6523;72,49
1991;12;1200401;RIO BRANCO;66,02;21,06;182267;437,12
1991;12;1200427;RODRIGUES ALVES;62,33;56,19;5389;88,55
1991;12;1200435;SANTA ROSA DO PURUS;63,56;80,58;1014;84,23
1991;12;1200450;SENADOR GUIOMARD;65,62;37,42;15738;223,06
