ano,uf,cod_ibge,municipio,esp_vida,tx_analf_15m,pop,rdpc
1991,11,1100015,ALTA FLORESTA D'OESTE,62.01,23.55,23417,198.46
1991,11,1100023,ARIQUEMES,66.02,17.18,56061,319.47
1991,11,1100031,CABIXI,63.16,24.57,7601,116.38
1991,11,1100049,CACOAL,65.03,21.41,69173,320.24
1991,11,1100056,CEREJEIRAS,62.73,20.26,19451,240.1
1991,11,1100064,COLORADO DO OESTE,64.46,25.44,25441,224.82
1991,11,1100072,CORUMBIARA,59.32,30.49,11968,81.38
1991,11,1100080,COSTA MARQUES,62.76,19.24,7418,250.08
1991,11,1100304,VILHENA,64.89,14.51,37496,472.17
1991,11,1100452,BURITIS,63.27,32.25,500,152.66
1991,11,1100502,NOVO HORIZONTE DO OESTE,59.32,27.44,11737,76.31
1991,15,1501725,BRASIL NOVO,61.98,33.74,13460,170.3
1991,15,1501758,BREJO GRANDE DO ARAGUAIA,61.8,43.69,6880,96.12
1991,15,1501782,BREU BRANCO,61.22,41,13639,195.08
1991,15,1501808,BREVES,62.38,48.26,71461,146.19
1991,15,1501907,BUJARU,64.41,35.54,13987,154.48
